C:\Users\scoti\PycharmProjects\ML_RAG\.venv\Scripts\python.exe C:\Users\scoti\PycharmProjects\ML_RAG\scripts\download_models.py
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0009
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0010 words=424 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0010
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0011 words=364 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0011
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0012 words=190 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0012
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0013 words=261 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0013
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0014 words=266 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0014
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0015 words=232 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0015
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0016 words=236 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0016
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0017 words=245 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 1 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0017
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0018 words=387 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0018
2026-01-07 01:52:31 | INFO | rag.chunking | Chunking doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0019 words=361 (chunk=400, overlap=80)
2026-01-07 01:52:31 | INFO | rag.chunking | Created 2 chunks for doc=[Oliver_Theobald]_Machine_Learning_for_Absolute_Be::p0019
